labelpredict	labelreal	review
0	0	Vertigo Games respects your right to privacy
0	0	This Privacy Notice explains who we are, how we collect, share and use personal information about you, and how you can exercise your privacy rights
0	0	This Privacy Notice applies to personal information that we collect through our games, like the Critical Strike mobile game (¡°Games?? and website at https://vertigogames.co (¡°Websites?? (together ¡°Services??.
0	0	If you use our Services, you agree to this Privacy Notice and processing of your personal information in accordance with this Privacy Notice
0	0	If you do not agree to this Privacy Notice, please do not use the Services.
4	4	If you have any questions or concerns about our use of your personal information, then please contact us using the contact details provided at the bottom of this Privacy Notice
0	0	We recommend that you read this Privacy Notice in full to ensure you are fully informed.
1	0	What personal information we collect and where?
1	1	We collect the following categories of personal information about you through the Services:
0	0	Information that you provide voluntarily
1	1	Certain parts of our Services may ask you to provide personal information voluntarily: for example, we may ask you to provide your contact details in order to contact our player support (although you can also contact directly through the Games without providing additional personal information), and/or to subscribe to marketing communications (like newsletters) from us
0	1	The personal information that you are asked to provide, and the reasons why you are asked to provide it, will be made clear to you at the point we ask you to provide your personal information.
0	1	Specifically, the information we collect directly from you includes information like (i) your user name; (ii) your email address; (ii) your user ID; and (iii) other personal information required in order to help you with any queries or support matters you may need assistance with via our forums or customer support service
0	1	In addition, you may choose to provide us your name, other contact information and other information but this is not necessary, and we urge you to keep this to the minimum when contacting us.
0	0	Information that we collect automatically
1	1	When you use our Services, we may collect certain information automatically from your device.
0	1	This information may be considered personal information under applicable data protection laws.
0	1	Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, advertising identifiers, operating system, browser-type, broad geographic location (e.g
1	1	We may also collect information about how you use the Services and how your device has interacted with our Services, including the Games played and the pages of our Website accessed.
0	3	Collecting this information enables us to better understand the players of our Games and visitors who come to our Website, where they come from, and what content or features on our Games and Website is of interest to them.
3	3	We use this information to serve interest-based advertising to you, for our internal analytics purposes, to prevent fraudulent behaviour in our Services and to improve the quality and relevance of our Services to our players and visitors.
0	3	Some of this information may be collected using advertising identifiers, cookies and similar tracking technology, as explained further under the heading ¡°Cookies and similar tracking technology??
0	0	Information that we obtain from third party sources
1	1	We may receive personal information about you from third party sources, like social networking and sign-in services
0	0	You can log in to our Services using sign-in services such as Facebook Connect, Apple Game Center or Google account
0	1	These services will authenticate your identity and provide you the option to share certain personal information with us.
0	0	 Services like Facebook Connect give you the option to post information about your activities on our Services to your profile page to share with others within your network.
0	1	We may collect and record information through the social networking and sign-in services in accordance with the policies and terms of those services
1	1	The information we collect when you connect your user account to a sign-in service may include: (i) your name, (ii) your user identification number and/or user name, (iii) locale, city, state and country, (iv) gender, (v) birth date, (vi) email address, (vii) profile picture or its URL, and (viii) the user identification numbers for your friends that are also connected to our Games.
6	0	 If you want us to delete the data we receive from Facebook or other sign-in services please contact us via our in-game customer support portal.
0	0	Furthermore, we may offer you the opportunity to invite your contacts from a social networking service (such as your Facebook friends) so that those contacts can be located in our Games and/or you can invite them to join you in our Games
3	0	Such contact information will be used only for the purpose of sending communications to the addressee
0	8	You or the third party may contact us at support@vertigogames.co to request the removal of this information from our database to the extent we store any of this information.
3	0	Why we process your personal information and on what legal basis?
3	3	We collect and use your personal information for the following purposes.
0	0	 Our legal basis for collecting and using the personal information is also described below.
3	0	For the performance of the contract we collect necessary personal information to
3	0	create accounts and user profiles and allow players to play our Games and use our Services;
3	0	provide and deliver products and services you request; and
0	0	send you related information, including confirmations and administrative messages.
0	0	To provide you with optimal Games and Services
0	0	To customize and provide you with optimal Games and Services we have a legitimate interest to collect and process necessary personal information to
0	0	update and develop user profiles;
3	0	operate our Games and Services;
3	0	analyse, develop and improve Games, other Services and user experience;
3	0	manage our relationship with you;
0	0	respond to your comments and questions, resolve the problems and provide other kind of player support;
0	0	analyse, profile and customize your use of the Games and Services;
3	0	send you related information, including technical notices, updates, security alerts, and support and administrative messages;
3	0	enable you to communicate with other players; and
3	0	link or combine information with other information we get from third parties, to help understand your preferences and provide you with better services.
0	0	Show you personalized advertisements
0	0	Unless you have opted out, to show you personalized advertisements (so called behavioural ads) in our Games and Services as well as in other web sites and services, or by email we have a legitimate interest to collect and use necessary personal information to
0	0	track the content you access when you use our Games or your device, and other online behaviour;
0	0	use cookies, advertising identifiers, or similar tracking technologies; and
3	0	deliver, enable, target and optimize advertising and promotional information.
