labelpredict	labelreal	review
0	0	Updated: February 5, 2019
0	0	TED is a global community, welcoming people from every discipline and culture who seek a deeper understanding of the world
0	0	While gathering information about the people who use TED.com, our apps, platforms and related sites (collectively referred to as ¡°TED Sites??, we take your privacy very seriously and make every effort to safeguard your personal data
0	0	This privacy policy is intended to inform you of what information we collect, how this information is used and what steps we take to protect this information, as well as providing you a process to update, change or delete your personal data.
0	0	By using TED Sites, you agree to our privacy policy
0	0	If you wish to update your personal information or any specific consent that you have provided to TED on any of TED Sites, please contact TED at privacy@ted.com.
0	0	What information we collect
3	3	How we use your data
0	0	Steps we take to protect your privacy
0	0	What information we collect
1	1	We collect three (3) types of information:
0	1	Personal information that you provide directly to us when you create an account with us and save items to your profile or submit information through a form based on a specific request or purpose.
1	0	Data collected automatically such as tracking information, IP addresses or other data related to usage on TED Sites.
0	1	Cookies, to help us understand what areas of TED Sites are most useful and interesting to our audience.
3	1	We collect some information to help customize your experience based on your previous activities on TED.com.
0	0	Information you provide directly to us
1	1	At account registration, you provide personal information, such as your name, email address, and password, and you have the option to provide other information
1	0	If you create an account through a user profile (such as Facebook, or other social media sites) then your information is sent from your profile to use in accordance with our privacy policy
1	1	We also collect information on your site activity when you favorite, save or watch talks.
1	0	We collect basic information you provide when you create a TED.com account or register for a conference
0	0	It's secure, and we'll never sell it.
0	1	When required for TED Conference registration, we collect and process your personal information including your name, address, telephone number and email address, and other preferences such as profile, photos, workshop and activity choices
0	0	At times, you may be asked to provide additional information, such as payment to provide under a secure conference registration process
0	0	When you provide your credit card number, it will only be shared with verified third parties who perform tasks required to complete the purchase transaction, and only the last four digits will be stored.
0	0	We need payment info to complete purchases, but we don't store credit cards except the last four digits.
0	0	We offer you opportunities to engage in public activities on TED.com
0	0	Public activities are any actions you take on TED Sites that are designed to be visible to other users -- including comments, recommendations and ratings
0	0	Your account is public by default
0	0	If you choose to engage in public activities, any personal information you upload may be read, collected or used by third parties
3	0	Please refer to the Community Guidelines about how to best take advantage of our interactive sites.
0	0	We are not responsible for any personally identifiable information you choose to submit in public forums
0	0	Information shared here may be used by others, potentially to send you unsolicited messages
0	0	If publicly posted information is not consistent with our terms of use, your content may be removed
0	0	For more information, see the TED.com Terms of Use.
0	0	Any personal information you post publicly is visible to all users
0	0	Be mindful of what you share, as we are not responsible for what happens with this information.
0	0	Non-personal data collected automatically
0	0	Tracking information for our site
0	0	This type of information relates to how many views are counted for each TED Talk and how many times TED Talks are saved or favorited
3	0	We perform statistical analyses of users of the site, and their viewing and participation patterns, for product development purposes and to generally inform advertisers about the nature of our audience.
0	0	We keep track of how often our audience engages with TED and do not share detailed contact information with our advertisers.
1	1	We may collect non-personal information about the computer, mobile device or other device you use to access TED Sites, such as IP address, geolocation information, unique device identifiers, browser type, browser language and other preferences automatically collected.
0	0	We use non-personal information to help us understand how our audience views TED.
0	0	Data collected with cookies
3	0	We use various technologies, such as Google Analytics cookies, to manage TED.com and track use of the content we provide, as well as Facebook to help us better target advertising on platforms that market TED to their users, including:
0	0	behavioral advertising which allows third parties to collect cookies to help TED advertise offerings more efficiently,
0	0	aggregated data about email click-through rates and video viewing,
0	0	data collected through HTML cookies, flash cookies, web beacons and similar technologies, and
0	3	demographics and other details to help us customize our sites based on your preferences.
0	0	Cookies provide a mechanism for us to understand how you use the site over time so that we can provide you the best user experience according to your expressed preferences
0	0	We do not sell this information to any third party, but may provide information to partners that assist us in updating, managing or maintaining our websites.
0	0	We use cookies to customize your experience
0	0	We do not sell data collected from cookies to any third party, but may provide information to partners to help us update and maintain our website.
1	1	We may collect and use your location data (such as your country) to provide a tailored, language-specific experience for your region, but we don¡¯t collect any geolocation-specific data from you or your device.
0	0	 You can change the settings on your computer or mobile device to prevent your location data from being shared
0	0	If you wish to opt-out of tracking and cookies, please manage your privacy settings on your browser, or select other ways to turn off cookies and/or ad features.
1	0	We collect information about your location to provide you with the most localized experience possible, but never collect data from your device.
3	3	How we use your data
3	0	We use your data for limited purposes and do not sell it to any third parties
0	0	Specific uses are defined below.
0	0	Providing requested services
