labelpredict	labelreal	review
0	0	TapBlaze, LLC (¡°Company?? ¡°We, ¡°TapBlaze??or Lai Systems, LLC) respects the privacy rights of our users and are committed to protecting the information collected through its online products, online services and websites including, but not limited to TapBlaze¡¯s games (together ¡°Services??
0	0	TapBlaze has adopted this privacy policy (¡°Privacy Policy?? to explain how TapBlaze collects, stores, and uses the information collected in connection with TapBlaze¡¯s Services.
0	0	BY INSTALLING, USING, REGISTERING TO OR OTHERWISE ACCESSING THE SERVICES, YOU AGREE TO THIS PRIVACY POLICY AND GIVE AN EXPLICIT AND INFORMED CONSENT TO THE PROCESSING OF YOUR PERSONAL DATA IN ACCORDANCE WITH THIS PRIVACY POLICY
0	0	IF YOU DO NOT AGREE TO THIS PRIVACY POLICY, PLEASE DO NOT INSTALL, USE, REGISTER TO OR OTHERWISE ACCESS THE SERVICES
0	0	TapBlaze reserves the right to modify this Privacy Policy at reasonable times, so please review it frequently
0	0	If TapBlaze makes material or significant changes to this Privacy Policy, TapBlaze may post a notice on TapBlaze¡¯s website along with the updated Privacy Policy
0	0	 Your continued use of Services will signify your acceptance of the changes to this Privacy Policy.
0	0	Our Policy Regarding Children Under 13 (Global)
0	0	We do not knowingly collect or solicit personal information from anyone under the age of 13 or knowingly allow such persons to use our Service.
0	0	 If you are under 13, please do not send any information about yourself to us, including your name, address, telephone number, email address or any other personal information
0	0	No one under the age of 13 may provide any personal information
4	4	If you believe that we might have any information from or about a child under the age of 13, please contact us here.
0	0	Please note that in-game advertising in TapBlaze games and apps deemed directed to children under the age of thirteen (13), including without limitation the following mobile apps: My Pizza Shop, My Pizza Shop 2, Friday Party Makeover, Hair Salon Makeover, My Donut Shop, My Cake Shop (collectively, ¡°Kids Apps?? are only CONTEXTUAL.
0	0	Our Policy Regarding Children Under 16 (European Union and United Kingdom)
0	0	We do not knowingly collect or solicit personal information from anyone under the age of 16 or knowingly allow such persons to use our Service.
0	0	 If you are under 16, please do not send any information about yourself to us, including your name, address, telephone number, email address or any other personal information
0	0	No one under the age of 16 may provide any personal information
4	4	If you believe that we might have any information from or about a child under the age of 16, please contact us here.
0	0	Please note that in-game advertising in TapBlaze games and apps deemed directed to children under the age of sixteen (16), including without limitation the following mobile apps: My Pizza Shop, My Pizza Shop 2, Friday Party Makeover, Hair Salon Makeover, My Donut Shop, My Cake Shop (collectively, ¡°Kids Apps?? are only CONTEXTUAL.
0	1	This website utilizes industry standard analytic packages which gathers limited information on visitors to our website automatically, and stores this anonymous information in server log files.
0	0	 This information may include IP addresses, browser type, basic IP information, referring pages, operating system used and date/time stamps
0	0	This information does not identify individual users; it is used only for site administration, as well as for analysis of website usage and trends.
0	0	The TapBlaze website does not use any non-technical cookies.
0	0	This website may contain links to other sites that are not controlled in any way by us
0	0	Please be aware of this when you click on any such links; we are not responsible for the privacy practices and/or policies of any website other than our own
0	0	Consequently, we strongly suggest that you review the privacy policy of every website you visit, whether or not they are linked to by our own site.
0	0	Registration is not required in order to use or access this website
0	0	However, this site may make forums, blogs, message boards or similar available to its users
0	0	You may be required to register for these features, particularly if you wish to leave comments or provide articles
0	1	In addition, this site collects personal information when:
0	0	You request support for a TapBlaze product;
4	0	You submit questions or comments to us.
0	1	The types of personal information collected may include (but are not limited to):
4	0	If you do contact us for questions or comments, please rest assured that any such information you provide will not be shared with any third-party organization except with your express consent.
0	0	For purposes of this Privacy Policy, ¡°non-personal data¡±??means information that does not directly identify you
0	0	Additionally, non-personal data means ¡°aggregate¡±??and ¡°de-personalized¡±??information, which is data TapBlaze collects about the use of TapBlaze Services, from which any personally identifiable data has been removed.
