labelpredict	labelreal	review
0	0	What does this Privacy Policy Cover?
0	0	  Yodo1 respects your privacy and is committed to protecting your Personal Data
0	0	We want to be transparent with you about how we collect and use your Personal Data in making available our games, (¡°Site?? and tell you about your privacy rights and how the law protects you.
0	0	With that in mind, this Privacy Policy is designed to describe:
0	0	Who we are and how to contact us.
0	0	Your rights relating to your Personal Data.
3	1	What Personal Data we collect.
3	3	How we use your Personal Data and why.
0	0	What happens when you do not provide necessary Personal Data?
0	0	How we use cookies and other tracking or profiling technologies.
0	0	How we keep your Personal Data secure.
0	2	How long we store your Personal Data.
0	0	This Privacy Policy aims to give you information on how Yodo1 collects and processes your Personal Data through your use of this Site, including any data you may provide through this Site.
0	0	The Privacy Policy is intended to meet our duties of Transparency under the ¡°General Data Protection Regulation??or ¡°GDPR??
0	0	We will post any modifications or changes to this Privacy Policy on this page.
0	0	    Who we are and how to contact us.
3	0	  Who we are.
0	0	Yodo1 Ltd is the Controller (for the purposes of the GDPR) of your Personal Data (referred to as either ¡°Yodo1?? ¡°we?? ¡°us??or ¡°our??in this Privacy Policy).
0	0	Our address is: Room A, 22/F Southtex Building, NO.51 Tsun Yip Street, Kwun Tong, Kowloon, Hong Kong.
0	4	How to contact us.
4	4	You can contact us by emailing: privacy@yodo1.com .
0	0	As Yodo1 does not have an establishment in the European Union, we have appointed a representative based in England , who you may address to raise any issues or queries you may have relating to our processing of your Personal Data and/or this Privacy Policy more generally.
4	0	Our EU representative can be contacted directly by emailing them at the following address: EURep@Yodo1.com .
0	0	    Your rights relating to your Personal Data.
0	0	  Under certain circumstances, by law you have the right to:
9	9	This enables you to receive a copy of the Personal Data we hold about you and to check that we are lawfully processing it.
6	6	Request correction of the Personal Data that we hold about you .
6	0	 This enables you to have any incomplete or inaccurate information we hold about you corrected.
0	0	 This enables you to ask us to delete or remove Personal Data where there is no good reason for us continuing to process it (including legal requirements to keep such data)
8	7	You also have the right to ask us to delete or remove your Personal Data where you have exercised your right to object to processing (see below).
0	0	 This right exists where we are relying on a Legitimate Interest as the legal basis for our processing and there is something about your particular situation, which makes you want to object to processing on this ground.
0	0	 This enables you to ask us to suspend the processing of Personal Data about you, for example if you want us to establish its accuracy or the reason for processing it.
0	0	We will provide to you, or a third party you have chosen, your Personal Data in a structured, commonly used, machine-readable format
0	0	Note that this right only applies to automated information which you initially provided consent for us to use or where we used the information to perform a contract with you.
0	0	This right only exists where we are relying on consent to process your Personal Data (??Consent Withdrawal ??
0	0	If you withdraw your consent, we may not be able to provide you with access to the certain specific functionalities of our Site
0	0	We will advise you if this is the case at the time you withdraw your consent.
0	0	How to exercise your rights.
4	4	If you want to exercise any of the rights described above, please contact us using the contact details shown here .
0	0	Typically, you will not have to pay a fee to access your Personal Data (or to exercise any of the other rights)
