labelpredict	labelreal	review
0	0	This document contains the privacy policy (¡°Privacy Policy?? of Tactile Games Limited (¡°Tactile??, UK registration number 11180461
0	0	In here, we explain how information about you is collected, used and disclosed by us, when you use our website, our mobile games and our other online products and services (collectively referred to as the Services) or when you interact with our Services in other ways.
0	0	We collect, store, and use your personal information as a data controller and according to this Privacy Policy in order to provide and improve our Services.
0	0	By using or accessing a Service you consent to the processing, use and disclosure of your data in accordance with this Privacy Policy, including the collection and use of your data by us and our trusted partners for the purposes of direct marketing, advertising and promotion of our Services
0	8	You may at any time withdraw your consent to the collection and use of your data for marketing, advertising and promotion purposes
0	0	The ways you can do so are described at the relevant places in this Privacy Policy.
0	0	If you do not want your data to be collected, processed and used or you do not agree to this Privacy Policy, do not install or use the Services.
0	0	We reserve the right to change this Privacy Policy from time to time
0	0	When we change the Privacy Policy, we change the date at the top of the document and we may also provide you with a notice such as adding a statement to our website's homepage or sending you a push notification or email
0	0	If you want to stay informed about our Privacy Policy we encourage you to read the Privacy Policy from time to time.
0	0	All our Services are governed by this Privacy Policy
0	0	 By accessing or using our Services, you consent to the terms of this Privacy Policy.
0	0	Our Services are not targeted at children
0	0	The table below sets out the minimum age per country you must be to use our Services
0	0	If you are under the relevant age, you may not use our Services.
1	0	Rest of the world (excluding Korea)
0	0	Consequently, we do not knowingly collect personal information from children under 13 years of age
0	0	If we learn that we inadvertently received personal data from children under 13 years of age, we will take reasonable measures to delete such personal data.
0	0	    2 Information we collect
1	0	When you install, access or use our Services we collect information about you that you choose to provide to us or that we automatically collect, including information you have sent us via e-mail, information about your device and information about how you use and interact with our Services
0	0	Please be aware that by installing, accessing or using our Services, you consent to the collection and processing of your information.
0	0	For further details about the types of information we collect, please read below:
0	0	Information you provide yourself
1	0	When you register and account with Tactile, participate in a contest and promotion, or you communicate with us via third party social media sites, you request customer support, you send us an email or otherwise interact with us, we collect this information
1	1	The collected information may include your name, your social networking screen names or IDs, your email address and any other information that you choose to provide.
0	0	Information we collect automatically through our Services
1	0	We automatically collect information about you when you access or use our Services, including:
0	1	Device related: Information about the device you use when you access our Services
1	1	This includes information about your device's hardware and software, Media Access Control address (MAC address) and other so-called unique device identifiers, device tokens, as well as information on your mobile network and your time zone
0	0	Logs: Your use of our Services is logged, including the type of browser you use, what time you accessed our Services, the pages you viewed, the page you visited before navigating to our Services and your IP address.
0	0	Usage: The applications that you use, your game progress, game scores, game achievements and interactions with other players in the games.
0	1	In-app purchases: When you purchase products (e.g
0	1	resources) inside our games, we also receive data
0	0	Data collected by cookies and other technologies for tracking: We set cookies on your device
0	0	A cookie is a file stored on your device
0	0	It helps us improve our Services and see which parts of our Services are popular
0	0	We may also use web beacons (sometimes called tracking pixels)
0	0	A web beacon is an electronic image that may be used in our emails or Services and helps us counting visits, deliver cookies and in general help us understand usage and effectiveness of advertising campaigns
0	0	Below, in the section ¡°Cookies and other technologies for tracking??you can find more information on cookies and how to disable them.
3	0	Information we collect from third parties
0	0	We may obtain information from third parties and combine that information with information we collect ourselves through our Services
0	0	If you access our Services using a third-party platform or site, for example a social network or gaming services, we may receive information about you from that third party
0	0	This includes your screen name, your profile information and your friend lists
0	0	The information is collected in accordance with the procedures determined by such third party
0	0	When you download or update one of our applications from an app store we may also receive information.
3	3	    3 Purposes we collect and use the information for
3	3	The information we collect is used for various purposes, including to provide you with our Services, to provide you with customer support, to respond to your questions and your requests, to enable communication between players, to maintain and to improve the functioning and safety of our Services, to determine potential problems and to observe certain trends with our Services, to fix technical problems and detect malicious actions, to test new features of our Services, to keep statistics of how our Services are used, to send technical notifications, to provide updates, to provide security alerts, to optimize your experience when using our Services, to provide you with personalized content and features, to deliver contest entries and rewards, to invoice our customers, to comply with any law that is applicable to us, to prevent crime and fraud, to contact you and to identify you as contracting party
3	3	Further, some of the information we collect such as your e-mail, your age, gender, region and country, ad-identifiers and non-personal information collected from your device, and information about your interaction with our Services, is used for advertising and marketing purposes
3	3	These purposes include sending you related information such as marketing and advertising materials and promotional communications, including via email, advertising through third-party websites and apps, telling you about products, services, offers, promotions and events offered by us or by others that we think will be of interest to you, providing tailored advertisements, sending push notifications or alerts related to the games, service updates, promotions and other messages to your tablet or mobile device
0	0	We hereby notify you that to market, advertise and promote our Services we collaborate with certain trusted partners with whom we might share your information and whose analytics, tracking and ad-serving technologies are integrated into our Services
0	0	Our partners help us to serve you advertisement, promotions and targeted content
0	0	To do this they combine the data we collect about you with information which they have obtained elsewhere
0	0	By installing, accessing and using our Services you consent to our partners collecting and processing your data for the marketing, advertising and promotion of our Services as described above, unless you object to processing of your data for marketing and advertising purposes as described in this Privacy Policy.
0	0	Please be aware that this Privacy Policy does not apply to the collection of your data by our partners
0	0	For further information, please visit the relevant websites of our partners
0	0	You can find a list of our partners here https://developers.facebook.com/products/audience-network, https://www.google.com/admob/, https://vungle.com/, https://www.adcolony.com/, https://www.applovin.com/, http://www.chartboost.com/, https://www.fyber.com/ and https://unity3d.com/unity/features/ads.
0	0	We hereby notify you that by installing, accessing and using our Services you consent to the use of your information by us and by our trusted partners for marketing and advertising purposes as described above, unless you object to the processing of your data for such purposes as set out in this Privacy Policy.
0	0	You can opt-out of us collecting the information with the purpose of providing tailored advertising by adjusting the global advertisement settings on your device
0	0	You can do so by limiting the ad tracking, resetting your device¡¯s ad identifier and clearing your tracked data
0	0	Please, be aware that the settings might differ based on the device you use, but on most devices, you may find these settings in ¡°ads??or ¡°privacy??
0	0	You should be aware that if you do such opting-out, some or all of our Services may become entirely or partially unavailable for you
0	0	We hereby notify you that we consider the processing of your data for marketing and advertising purposes as our legitimate interest.
8	8	You have the right to object to processing of your data for marketing and advertising purposes at any time by contacting us using the contact information below
0	0	You can always deactivate the receiving of the push notifications described above by changing the notification settings on your device.
0	0	Please note, that even if you opt out of us collecting information with the purpose of providing tailored advertisement, you will still see some advertisement, but it will not be personalized and targeted directly at you.
0	0	We store the collected information on servers that are under our control and we apply reasonable and appropriate organizational and technical security measures to keep the information safe, including to protect it from loss, theft, misuse and unauthorized disclosure, or alteration
0	0	We make sure that our trusted partners who process personal information on our behalf also take the necessary security measures to keep your data safe
0	0	However, we cannot and do not guarantee the absolute security of the information because of the nature of the Internet
0	0	We advise that you take enough precautions and act carefully when sharing your information via the Internet
0	0	We hereby notify you that the information we collect might be transferred and processed in countries outside the European Union and the European Economic Area
0	0	Please, be aware that these countries may not have the same data protection rules as the ones in your country or the EU
0	0	We undertake that we take reasonable and appropriate steps and measures to ensure that there are adequate safeguards in place (including standard data protection clauses) to allow your personal data to be transferred to such countries.
0	2	   5 Period for which the information is stored
2	2	We will store and use the collected information as long as it is needed for the purposes it has been collected for
