labelpredict	labelreal	review
0	0	Thank you for playing our games! This Privacy Policy describes:
1	0	The ways we collect personal data about you and why we do so
3	3	How we use your personal data, and
0	0	The choices you have about your personal data.
0	0	This Privacy Policy applies to YOTTA GAMES, websites and related services, which is collectively called the Service
0	0	We may periodically update this Privacy Policy by posting a new version on yottagames.com
0	0	If we make any material changes, we will notify you by posting a notice in the Service prior to the change becoming effective
0	0	Your continued use of the Service after the effective date will be subject to the new Privacy Policy.
0	0	Data you provide us
1	0	Other data you choose to give us (such as data to identify a lost account)
0	0	Data we collect automatically.
1	0	Your IP address and mobile device identifiers (such as your device ID, advertising ID, MAC address, IMEI)
3	0	Data we collect with cookies and similar technologies
0	0	In most cases, we also create a YOTTA GAMES-specific ID for you when you use the Service.
0	0	Data we collect from our partners.
1	0	Data we receive if you bind to a third party tool with the Service (such as Facebook, Game Center or Google)
1	0	Demographic data (such as to determine the coarse location of your IP address)
0	0	Data to fight fraud (such as refund abuse in games or click fraud in advertising)
0	0	Data from platforms that the games run on (such as to verify payment)
0	0	Data for advertising and analytics purposes, so we can provide you with better Service
0	0	WHY DO WE COLLECT YOUR DATA
3	0	To make the Service work.
3	0	To perform the contract, we process data necessary to:
3	0	Create accounts and allow you to play our games and use our Service
3	0	Provide and deliver products and services you request
0	0	Send you Service-related communications
3	0	To make the Service more suitable for our players.
0	0	To provide greater Service to our players, we have a legitimate interest to collect and process necessary data to:
0	0	Update and develop player profiles
0	0	Develop and improve the Service and player experience
0	0	Manage our relationship with you
0	0	Customize your Service experience
0	0	Respond to your comments and questions and provide player support
0	0	Provide you YOTTA GAMES offers in the Service as well as in other websites and services, and by email
3	0	Send you related information, such as updates, security alerts, and support messages
3	0	Enable you to communicate with other players
0	0	Display personalized advertisement
3	0	To display personalized advertisements.
0	0	To show you personalized advertisements in the Service as well as in other websites and services (including email) we have a legitimate interest to process necessary data to:
0	0	Track the content you access in connection with the Service and your online behavior
3	0	Deliver, target and improve our advertising and the Service
0	0	For information on how to opt-out from personalized advertisements, see section 'Your rights and options' below
0	0	To keep the Service safe and fair Ensuring a level playing field in the Service is a top priority for us
0	0	For more information on our acceptable use policy, see the YOTTA GAMES Terms of Service.
3	0	To keep the Service safe and fair.
3	3	In order to keep the Service and its social features safe and fair, to fight fraud and ensure acceptable use otherwise, we have a legitimate interest to process necessary data to:
0	0	Take action against fraudulent or misbehaving players
0	0	To analyze, profile, and segment.
3	0	In all of the above cases and purposes, we may analyze, profile and segment all collected data.
0	0	With your consent, we may process your data for additional purposes, such as using your GPS location to show you local events.
0	0	Apart from YOTTA GAMES, your data can be accessed by others in the following situations:
0	0	Social features are a core component of our games
0	0	Other players and users may, for example, see your profile data, in-game activities and read the messages you have posted.
0	0	PARTNERS WORKING With YOTTA GAMES.
0	0	Yottagames has partners to perform services for us
0	0	These partners process your data only at and according to YOTTA GAMES¡äs instructions to provide the Service, such as hosting, player support, advertising, analytics and fraud prevention.
3	0	In order to combat fraud and illegal activity, we may exchange data with other companies and organizations and provide it to public authorities in response to lawful requests.
0	0	We may also disclose your data based on your consent, to comply with the law or to protect the rights, property or safety of us, our players or others.
0	0	The Service includes features from our partners, such as social media interaction tools and in-game advertising
0	0	These partners may access your data and operate under their own privacy policies
0	0	We encourage you to check their privacy policies to learn more about their data processing practices.
0	0	Our Service is global by nature and your data can therefore be transferred to anywhere in the world
0	0	Because different countries may have different data protection laws than your own country, we take steps to ensure adequate safeguards are in place to protect your data as explained in this Policy
0	0	Adequate safeguards that our partners may use include standard contractual clauses approved by EU Commission and the Privacy Shield certification in case of transfers to the USA.
0	0	You may opt-out of receiving promotional communications, such as marketing emails from us by following the instructions in such communications.
0	0	You can opt-out of interest-based advertising on mobile applications by checking the privacy settings of your Android or iOS device and selecting limit ad tracking (Apple iOS) or opt-out of interest based ads (Android).
0	0	For personalized in-game offers opt-out, you can use the options provided in the game settings.
6	6	You also have the right to correct your data, have your data deleted, object how we use or share your data, and restrict how we use or share your data.
0	0	 You can always withdraw your consent, for example by turning off GPS location sharing in your mobile device settings.
0	0	We will respond to all requests within a reasonable timeframe
4	0	If you have an unresolved privacy or data use concern that we have not addressed satisfactorily, please contact our U.S.-based third-party dispute resolution provider (free of charge)
0	10	You may also contact your local data protection authority within the European Economic Area for unresolved complaints.
0	0	Like most online services, we and our partners use cookies and similar technologies to provide and personalize the Service, analyze use, target advertisements and prevent fraud
0	0	You can disable cookies in your browser settings, but some parts of the Service may then not function properly.
0	0	In order to help ensure a secure and safe player experience, we are continuously developing and implementing administrative, technical and physical security measures to protect your data from unauthorized access or against loss, misuse or alteration.
2	2	We retain your data for as long as your account is active or as needed to provide you the Service.
0	0	 We will for example periodically de-identify unused game accounts and we regularly review and de-identify unnecessary data.
0	6	Note that if you ask us to remove your personal data, we will retain your data as necessary for our legitimate business interests, such as to comply with our legal obligations, resolve disputes, and enforce our agreements.
0	0	We do not knowingly collect or solicit personal data about or direct or target interest based advertising to anyone under the age of 15 or knowingly allow such persons to use our Services
0	0	If you are under 15, please do not send any data about yourself to us, including your name, address, telephone number, or email address
0	0	No one under the age of 15 may provide any personal data
0	0	If we learn that we have collected personal data about a child under age 15, we will delete that data as quickly as possible
0	4	If you believe that we might have any data from or about a child under the age of 15, please contact us.
