labelpredict	labelreal	review
0	0	EN | DE | ES | FR | IT | BR | MX | KR | CN | ZH | JP | PL | RU | CZ | AR | TU
0	0	Take-Two Interactive, Inc., a United States company, its parent and its subsidiaries (collectively the Company, ¡°we,??¡°us??and ¡°our??, respects the privacy rights of our users and is committed to protecting the information collected through its products, services, and websites accessed through internet-capable hardware platforms including gaming consoles, personal computers, mobile computers, or mobile devices, or in-game applications or software platforms including third-party hosts (collectively the Online Services)
0	0	We have adopted this privacy policy to explain how we collect, store, disclose, transfer, protect, and otherwise use the information collected in connection with our Online Services (the Privacy Policy).
0	0	BY REGISTERING FOR OR USING OUR ONLINE SERVICES, YOU AGREE THAT (i) WE MAY TRANSFER, PROCESS, AND STORE YOUR ACCOUNT INFORMATION IN THE UNITED STATES OF AMERICA AND OTHER COUNTRIES THAT MAY HAVE DIFFERENT PRIVACY PROTECTIONS THAN YOUR COUNTRY; (ii) WE MAY PROCESS YOUR DATA IN ACCORDANCE WITH THE FOLLOWING PRIVACY POLICY; (iii) YOU ARE BOUND BY OUR PRIVACY POLICY; AND (iv) YOU WILL ABIDE BY OUR TERMS & CONDITIONS, CODE OF CONDUCT, AND ANY OTHER POLICIES THAT MAY APPLY
3	0	This Privacy Policy will explain:
0	0	Who does this privacy policy apply to?
0	0	What this Privacy Policy applies to
0	0	What personal and other information may be collected
0	0	What gameplay information we may collect
0	0	Special Notes Regarding Certain Information, Including Public Information, Resumes, Investor Relations, Email Correspondence, and Member Names/Gaming Console IDs
7	0	The consequences, if any, resulting from your refusal to provide personal information
0	3	How we use cookies, track IP Addresses, or use other passive means to collect information
0	0	Who, if anyone, is collecting your personal information and how it will be used
0	0	With whom, if anyone, your personal information will be shared
0	0	When the company will ask to process your information
0	0	What choices you have with regard to the use of your personal information
0	0	Whether personal information is collected from Children under 13
0	0	How we protect your information
0	0	What other Company terms apply
0	0	What other third-party terms apply
10	0	How to ask questions or file a complaint
0	0	This Privacy Policy applies to all Online Services users and, except as noted, all Online Services are being offered in the United States by the Company
0	0	For Online Services offered by Rockstar Games, 2K, or Private Division used by residents of the European Union, the company Take-Two Interactive Software Europe Limited, ICO Registration No
0	0	Z1336431, is the data controller responsible for your personal information
0	0	For Online Services offered by Social Point, Social Point S.L
0	0	is the data controller responsible for your personal information.
0	0	back to top
0	0	WHAT DOES THIS PRIVACY POLICY APPLY TO?
0	0	This Privacy Policy applies to the Company's Online Services, websites, mobile applications, and other services that link to it or display it
0	0	In addition, the Company may also own several other domain names that relate to its labels, feature its products, or point to its websites, and we may from time to time add new sites and services.
0	0	Please note that this Privacy Policy applies only to information submitted and collected online through the Online Services, and does not apply to information that may be collected by the Company offline
