labelpredict	labelreal	review
0	0	This Privacy Policy is incorporated by reference into the Zuuks Games Terms of Service (the ¡°Terms of Services??
0	0	The terms ¡°Zuuks Games,??¡°we,??and ¡°us??include ZUUKS B?L???M H?ZMETLER? SANAY? VE T?CARET L?M?TED ??RKET? This Privacy Policy explains our online and offline information practices, the kinds of information we may collect, how we intend to use, store, protect, disclose and share that information, and how you can opt out of a use or correct or change such information.
0	0	This Privacy Policy applies to Personal Information that is Processed by Zuuks Games in the course of our business, including on Zuuks Games websites (each a ¡°Site??, mobile applications, forums, blogs, and other online or offline offerings (together with any and all future online and offline offerings operated by or on behalf of Zuuks Games (the ¡°Services??)
0	0	All individuals whose responsibilities include the Processing of Personal Information on behalf of Zuuks Games are expected to protect that data by adhering to this Privacy Policy
3	0	This Privacy Policy is intended to meet requirements globally, including those in North America, Europe, Turkey, APAC, and other jurisdictions.
0	0	By visiting, installing, using or otherwise accessing the Services, you agree to this Privacy Policy and Terms of Services of Zuuks Games and give an explicit and informed consent to the processing of your Personal Information in accordance with this Privacy Policy
0	0	Please do not install or use the Services if you do not agree to this Privacy Policy or Terms of Services.
0	0	Please note that Zuuks Games is not responsible for the actions of Third Parties, the content of their sites, the use of information you provide to them or any services they may offer.
0	0	Zuuks Games reserves the right to modify this Privacy Policy and your continued use of the Services shall mean your acceptance of the changes to this Privacy Policy.
0	0	Types of Personal Information We Collect and How We Use It
1	1	The types of Personal Information we may collect (directly from you or from Third-party sources) and our privacy practices depend on the nature of the relationship you have with Zuuks Games and the requirements of applicable law
0	1	Some of the ways that Zuuks Games may collect Personal Information include:
0	1	you may provide Personal Information directly to Zuuks Games through interacting with the Services, participate in Services feedback, questionnaires, surveys, or contests or participating in forums discussions, and requesting Services, or information; and
0	0	as you navigate the Services, certain passive information may also be collected about your visit, including through Cookies and similar technologies as described below.
3	3	Primary goals in collecting information are to provide and improve our Services, to administer your use of the Services and to enable you to enjoy and easily navigate our Services.
3	0	 We endeavor to collect only that information that is relevant for the purposes of Processing
0	3	Below are the ways we collect Personal Information and how we use it.
0	0	3.1 Types of Personal Information We Collect
1	1	Zuuks Games collects Personal Information regarding its current, prospective, and former clients, customers, users, visitors, and guests (collectively ¡°Individuals??.
0	0	3.1.1 Information Collected from Third-parties when Installing and Playing the Games
0	1	f you play any of the games or use any of the Services on connected Third-party applications or connect the Services to any Third-party applications, like Apple, Google, Amazon and/or from Social Networking Sites (¡°SNS?? such as Facebook, Zuuks Games may receive certain information about you from the provider of the Third-party application.
0	0	 The information received depends the Third-party application, your privacy settings and, if applicable, your friends' privacy settings on that Third-party application
1	1	When you connect with the Services through an SNS, the information that Zuuks Games collects may include your first and last name, your SNS user identification number and/or user name, your profile picture or its URL, location, sex, the login e-mail you provided to that Third-party application when you registered with the SNS, age-range (e.g
0	1	min 21), locale, language of your application, time zone and the SNS user identification numbers for your friends who are also connected to the Services.
1	1	When you use any of the Services, games or applications on a mobile platform, Zuuks Games may collect and record certain information such as your unique device ID (persistent/non-persistent), your device operating system, version, model, CPU, amount of RAM and disk space, hardware type, Identifier For Advertising (IDFA), Advertising ID, the version of your operating system (OS), your device name, Game Center ID, and your location based on your Internet Protocol (IP) address.
