	sentiment	review
0	0	As you may know, Musixmatch offers its services also through its mobile app or other online platforms such as its partners’ websites and social media. This Privacy Policy is applicable to any data we collect about you or that you voluntarily provide to us through these platforms or other connected tools (for example e-mails sent to our Team).
1	1	For the purpose of this Privacy Policy, we are a Data Controller of your Personal Data.
2	3	Cookies and similar technologies. When you use the App, we may use cookies and similar technologies like pixels, web beacons, scripts to collect information about how you use our App and provide features to you. A cookie is a text file containing small amounts of information which is downloaded to your device when you access the App. The text file is then sent back to our server each time you use the App. This enables us to operate the App more effectively. For example, we will know how many users access specific areas or features within our App and which links or ads they clicked on. We use this aggregated information to understand and optimize how our App is used, improve our marketing efforts, and provide content and features that are of interest to you. We may ask advertisers or other partners to serve ads or services to the App, which may use cookies or similar technologies.
3	1	If you are a rider and have provided permission for the processing of location data, Uber collects location information when the Uber app is running in the foreground. In certain regions, Uber also collects this information when the Uber app is running in the background of your device if this collection is enabled through your app settings or device permissions.
4	3	Like many website owners and operators, we use automated data collection tools such as Cookies and Web Beacons to collect certain information.
5	4	Trials of Heroes may disclose your personal data to third parties as required by law enforcement or other government officials in connection with an investigation of fraud, intellectual property infringements, or other activity that is illegal or may expose you or Trials of Heroes to legal liability. Trials of Heroes may also disclose your personal data to third parties when Trials of Heroes has a reason to believe that a disclosure is necessary to address potential or actual injury or interference with Trials of Heroes’s rights, property, operations, users or others who may be harmed or may suffer loss or damage, or Trials of Heroes believes that such disclosure is necessary to protect Trials of Heroes’s rights, combat fraud and/or comply with a judicial proceeding, court order, or legal process served on Trials of Heroes. To the extent permitted by applicable law, Trials of Heroes will make reasonable efforts to notify you of such disclosure through Trials of Heroes’s website or in another reasonable manner.
6	6	You can access and modify the information you provided us through your account. If you would like us to delete your entire account from our system, please contact us via the email address in the end. We will use reasonable efforts to honor your request; however, we may retain an archived copy of your information as required by law and/or for record keeping purposes. Once your account is deleted, you will no longer have access to your message history, preferences or any other information associated with your use of our services. Even after you remove information from your account or profile, copies of that information may remain viewable elsewhere, to the extent it has been shared with others, it was otherwise distributed pursuant to your privacy settings, or it was copied or stored by other users.
7	1	In addition, we create a unique user ID to track your use of our Service. This unique user ID is stored in connection with your profile information to track the games you are playing.
8	3	"Within our service, we are promoting remarketing and advertising technology to increase the efficiency of our marketing efforts, to deliver the delivered advertisements to consumers, and to market the advertising space. Within our service, user profiles can be created. Re / Marketing Provider can use ""Pixel-Tags"" (small invisible images, also known as ""Web Signals"") to gather information "
9	4	"Ubisoft Services, including Uplay.com, may offer a public profile feature (""Public Profile"") that allows you to publish information, including personal information, to the public Internet. Other than as stated on the applicable Public Profile site, the information you upload or input to your Public Profile will default to the privacy level you choose at sign-in, and you can choose to change the privacy settings at any time. By default, certain aspects of the Public Profile are set to ""public"". Those aspects of the Public Profile that are designated as ""public"" will be visible by everyone, including people not registered within the Ubisoft environment, and may be indexed and displayed through public search engines when someone searches for you.  If you post your personal information to a Public Profile, including a video, image or photo, you should be aware that these may be viewed, collected, copied and/or used by other users without your consent.  We are not responsible for disclosure by other users of your Personal Information, including without limitation, videos, images or photos that you choose to submit on the Ubisoft Services. Also, please remember that the Personal Information you provide to us as part of your Public Profile may reveal or allow others to identify aspects of your life that you may not choose to state on your Public Profile directly  (for example, your picture may reveal your gender). "
10	2	When you become a user of the Service, we will collect the statistic about users’ behavior and location. By learning and analyzing the statistic, we will improve the service and product to be better. In the course of interacting with Tunnellight VPN, we may need specific information from you to enable Tunnellight VPN to solve the problem and improve the service as soon as possible. Please note that access to your personal information is in accordance with Tunnellight VPN’s retention and access policy.
11	2	You can also make choices about the collection and use of your data by Microsoft. You can control your personal data that Microsoft has obtained, and exercise your data protection rights, by contacting Microsoft or using various tools we provide. In some cases, your ability to access or control your personal data will be limited, as required or permitted by applicable law. How you can access or control your personal data will also depend on which products you use. For example, you can:
12	0	Please also see the Adobe Terms of Use and any additional Terms of Use or Product License Agreements that may apply to the app or website you are using. 
13	7	Personally identifiable information provided to Camel Games by customers in the EU is controlled by Camel Games, with place of business set out below. Personally identifiable information provided to Camel Games will be collected, processed and stored by Camel Games Corporation in the United States. Camel Games has taken reasonable steps to protect the information users share with us, including, but not limited to, setup of processes, equipment and software to avoid unauthorized access or disclosure of this information. Camel Games Corporation complies with the Safe Harbor framework developed by the U.S. Department of Commerce and the European Union relating to the transfer and processing of personally identifiable information. For more information about the Safe Harbor program or to view Camel Games's certification please visit ; http://export.gov/safeharbor/eu/eg_main_018476.asp.
14	1	           NOVA GEIMS, OOO collects only adequate and relevant information limited to the purposes defined hereunder.
15	2	For purposes which are required by law: ; Legal purposes: In certain cases, we may need to use your information to handle and resolve legal disputes, regulatory investigations and compliance, respond to requests by government or law enforcement authorities conducting an investigation, or to enforce the Terms of Use in connection with any Services provided by Trip.com as reasonably expected. ; Relying on our legitimate interests
16	0	This privacy notice applies to any PikPok game, website, application, service or tool (collectively “Services”).
17	4	Business Transfers. Your Personal Information may also be used by us or shared with our affiliates controlled by the Organization for internal reasons. If another entity acquires us or all or a portion of our assets, Personal Information, Usage Information, and any other information that we have collected about the users of the Services may be disclosed to such entity as part of the due diligence process and will be transferred to such entity as one of the transferred assets. Should such a sale or transfer occur, we will use reasonable efforts to direct the transferee to use information you have provided through the Services in a manner that is consistent with this Policy. Also, if any bankruptcy or reorganization proceeding is brought by or against us, all such information may be considered an asset of ours and as such may be sold or transferred to third parties.
18	1	In most cases, we also create an ILYON-specific ID for you when you use the Service.
