labelpredict	labelreal	review
0	0	By using this site, you agree with our use of cookies.
0	0	I consent to cookies Want to know more? Read our Cookie Policy
0	0	This Privacy Policy applies to the shopping sites and apps operated by ContextLogic and its corporate affiliates, including Wish, Geek, Cute, Mama, Home Design & D¨¦cor and Local, and to any other site or service that is operated by ContextLogic and links to it(¡°Services??
0	0	This Privacy Policy uses the terms ¡°our??¡°us??and ¡°we??to refer to ContextLogic Inc
0	0	or ContextLogic BV and ¡°you??or ¡°user(s)??to refer to individuals described by the information that ContextLogic collects and uses, such as customers and merchants
0	0	If you live in Switzerland or the European Union, your personal data is controlled by ContextLogic BV, a company based in the Netherlands
0	0	Please read this document carefully to learn more about how we collect, use, share and protect information, including information that may describe you personally
0	0	This Privacy Policy does not apply to the practices of companies we don't own or control, or people that we don't manage
0	0	For example, it does not apply to the use of purchaser shipping information by a merchant
0	0	Any capitalized terms we use in this Privacy Policy without defining them have the definitions given to them in the Terms of Use which govern Your use of the Services.
0	0	We operate several marketplaces, including Wish, that allow merchants to list items and users to find and purchase items, often at a discount from retail prices
3	1	We collect and use purchaser and merchant information, including for payment methods and shipping address, to support these experiences.
3	3	We also use information to find items that we think will be of interest to buyers and to find the right price for each item.
0	0	By using or accessing the Services, you acknowledge that we will collect, use, and share your information as described in this Privacy Policy
0	0	You have choices about whether to provide us with information and how we use that information
0	0	You may choose not to provide us with information, but your choice(s) may prevent you from using the Services or limit your use of certain features
0	0	For example, if you do not provide us with a payment method, you may not be able to make purchases
0	0	See Section 7 for more information about your choices.
0	0	We're constantly trying to improve our Services, so we may need to update this Privacy Policy
0	0	We may update this Privacy Policy to reflect changes in the law, the Services, our companies or advances in technology
0	0	We will alert you to a change by placing a notice on the Services or by sending an email
7	0	Our use of the information we collect is subject to the Privacy Policy in effect at the time such information is used.
3	1	Some of the information we collect is provided by you, some is collected automatically (typically from devices) and some may be collected from other sources.
0	1	Information You Provide
0	1	When you use the Services you often provide information to us, such as when you create an account or a store, make or fulfill a purchase, leave a review, or request customer support
0	1	Examples of the information you may provide are:
0	1	When you use the Services, such as when you visit our sites, and install or use our apps, we automatically collect information about how you use the Services and the devices you use to access the Services.
0	0	 Examples of the information we collect automatically are:
1	0	Location information - we and our service providers may automatically collect general location information from your computer or mobile device
0	0	We will ask your permission before collecting your precise GPS location information.
0	0	Social network account and profile data (when you use social login)
0	0	Unique Device Identifiers, including MAC Address, Ad IDs, and device attributes, such as operating system and browser type
0	0	Usage Data, such as: web log data, referring and exit pages and URLs, platform type, number of clicks, domain names, landing pages, pages and content viewed and the order of those pages, the amount of time spent on particular pages, the date and time you used our Services, the frequency of your use of our Services, error logs, and other similar information.
0	0	Analytics ??We use Google Analytics or other providers to understand better how individuals and their devices interact with the Services
0	0	Learn more about How Google uses data when you visit a partner site or app.
0	0	We may use cookies, which are text files containing small amounts of information that are downloaded on your device, or related technologies, such as web beacons, local shared objects and tracking pixels to store or collect information (¡°Cookies??
0	0	Cookies can help us learn about your online activity including on other sites or services.
0	0	Ads for Products and Services We may use services, like Facebook, to serve tailored ads to you about the ContextLogic services, our companies or products we are developing
3	0	We may also support or allow the delivery of advertising for the products and services of other companies
0	0	We allow ad networks and other participants in the online advertising sector (¡°Advertisers?? to use and access their own Cookies on your computer or other device(s) you use to access our Services
0	0	We may deliver a file to you through the Services (known as a web beacon) from an ad network
0	0	Web beacons allow ad networks to provide anonymized, aggregated auditing, research and reporting for us and for advertisers
0	0	Web beacons also enable ad networks to serve targeted advertisements to you when you visit other websites
0	0	Because your web browser must request these advertisements and web beacons from the ad network's servers, these companies can view, edit, or set their own cookies, just as if you had requested a web page from their site.
0	0	We do not have access to Cookies placed or read by Advertisers, and this Privacy Policy does not govern the use of those cookies and related technologies
0	0	See the Choice information in Section 7 for more information.
0	0	The Services may have links to third-party websites or apps, which may have privacy policies that differ from our own
0	0	We are not responsible for the practices of such sites.
0	0	The Services may also offer you the ability to interact with social plugins from social media sites, which may allow us and/or the social media site to receive data from or about you
0	0	In some cases, we may know that you clicked on a social plugin, such as a Twitter Follow button, or receive other information from the social media sites
0	0	Similarly, if you have previously provided personal information to a third-party operating a plug-in on the Services, then such third-party may recognize you on the Services
0	0	Your use of social network plugins is subject to each social media site's privacy policy, which may be different from ours, so please read these policies carefully to understand their policies and your options
0	0	As with linked sites, we have no control over the information that is collected, stored, or used by social network plugins, and are not responsible for the practices of such sites.
3	0	We may gather information, including demographic and statistical information from third parties, such as business partners, marketers, researchers, analysts
0	0	We may attribute this information to you based on your assignment to certain statistical groups
3	3	We may use this information to supplement the other information that we collect in order to derive your possible interests and to provide more relevant experiences for you within the Services and improve our products, analytics, and advertising.
3	3	In general, we collect, use and store (¡°process?? your information to provide the Services, to fix and improve the Services, to develop new services, and to market our companies and their products and services.
0	3	 Some specific examples of how we use information are:
0	0	Communicate with you - using email, sms, push notifications or platform messaging (like Whatsapp) - about your account or activity or to market product listings, features, or events.
0	0	Test changes in the Services and develop new features
3	0	Analyze use of the Services and personalize content, including ads and prices
0	0	Fix problems you may have with the Services or a particular purchase, including answering support questions and resolving disputes
0	0	Comply with any procedures, laws, and regulations which apply to us, including those that set retention periods
3	0	For purposes of European data protection law, we normally process personal data where:
0	0	we need to perform the contract we are about to enter into or have entered into with you, such as when we process a payment
0	0	it is in our legitimate interests (or those of a third party) and your data protection interests and fundamental rights and freedoms do not override those interests, such as when we secure the Services, engage in fraud prevention, and direct marketing
3	0	we need to comply with a legal or regulatory obligation
0	0	we have your consent to do so
0	0	We do not generally rely on consent as a lawful basis for processing your personal data, but you have the right to withdraw consent to marketing at any time by contacting us
3	3	We may combine the information we collect (¡°aggregate?? or remove pieces of information (¡°de-identify?? to limit or prevent identification of any particular user or device, which can help support our research and marketing efforts
0	0	This Privacy Policy does not apply to our use of such aggregated or de-identified information.
3	0	Information that we collect and use is normally processed outside of Europe
3	0	By using the Services you:
0	0	Acknowledge that your information will be processed as described in this Privacy Policy; and
0	0	Consent to having your information transferred to our affiliates and facilities in the United States or elsewhere or to facilities of third parties with whom we share information as described in this Privacy Policy.
2	2	We keep your information for the time period required to complete the purposes for which it is processed or satisfy legal retention requirements
0	2	The length of time for which we retain information depends on the purposes for which we collected and use it or the requirements of applicable laws.
0	0	We do not rent, sell or share information except as described in this Privacy Policy
0	0	We employ other companies and people to perform tasks on our behalf and need to share information with them so they can perform tasks and services
3	0	For example, we may use a payment processing company to receive and process your payment when you make a purchase using the Services or we may use a cloud services provider to store data.
0	0	These companies use your information as described in this Privacy Policy.
0	0	Information about merchants and users (purchasers) is shared in certain contexts
0	0	For example, merchant store information is made available to users and user reviews of a store are made available to merchants and other users
0	0	Also, when users complete a purchase using the Services, we normally share information needed to fulfill the purchase, such as shipping address and phone number, with the seller (usually a merchant) and its service provider(s), such as a shipping company
0	0	Information shared with sellers and their service providers is subject to their own policies.
0	0	We allow advertisers, including merchants (Advertisers), to choose the types of users who will see their advertisements or promotional offers based on demographic information about our users
0	0	We might allow Advertisers to display their ads to users with similar usage patterns or similar geographic locations
0	0	For example, if you are located in Austin, TX we may show you ads or offers for businesses in Austin, TX
0	0	If an advertiser asks us to show an ad to a certain audience or audience segment and you respond to that ad, the advertiser may conclude that you fit the description of the audience they were trying to reach.
0	0	Any information you may disclose on the Services, in blogs, on message boards, in chat rooms, or on other public areas on the Services or other third-party websites or apps that the Services may link to, becomes public information accessible to other users and visitors
0	0	Please exercise caution when disclosing personal information in these public areas.
0	1	Certain user profile information, including your name, photo, location, purchase history, items on your wishlist, reviews you have written (including any photos you upload with such reviews), and the list of people you follow or that follow you, may be displayed to other users to facilitate user interaction within the Services or address your request for our services.
0	0	 Please remember that any content you upload to your public user profile, along with any personal information or content that you voluntarily disclose online in a manner other users can view (on discussion boards, in messages and chat areas, etc.) becomes publicly available, and can be collected and used by anyone
0	0	Your user name may also be displayed to other users if and when you send messages or comments or upload images or videos through the Services and other users can contact you through messages and comments
0	0	Additionally, if you sign into the Services through a third party social networking site or service, such as Facebook, your list of friends from that site or service may be automatically imported to the Services, and such friends,  if they are also registered users of the Services, may be able to access certain non-public information you have entered in your Services user profile
0	0	Again, we do not control the policies and practices of any other third party site or service.
0	0	We may choose to buy or sell assets and may share or transfer user information (including personal information) in connection with the evaluation of and entry into such transactions
0	0	Also, if we (or our assets) are acquired, or if we go out of business, enter bankruptcy, or go through some other change of control, user information could be one of the assets transferred to or acquired by a third party.
0	0	We reserve the right to access, read, preserve, and disclose any information that we in good faith believe is necessary to comply with law or court order; enforce or apply our Terms of Use and other agreements; or protect the rights, property, or safety of ContextLogic, our employees, our users, or others.
0	0	We may share your information in other ways if you have asked us to do so or have given consent.
0	0	Accounts are protected by a password for your privacy and security
0	0	If you access your account via a third party site or service, such as Facebook, you may have additional or different sign-on protections via that third party site or service
0	0	We recommend that you choose an appropriate password, safeguard your password and limit access to the devices on which you access your account.
0	0	We use reasonable organizational and technical measures intended to protect the privacy of your account and personal information we use or store, but the Internet and our Services are not 100% secure
0	0	We cannot guarantee complete privacy or security for the information that you provide or that we collect.
6	6	Through your account Settings,  you are able to access, edit or delete information you've provided to us, including:
0	1	user profile information, including images and videos you have uploaded to the Services
6	6	The information you can view, update, and delete may change as the Services change
4	4	If you have any questions about viewing or updating information we have on file about you, please contact us at support@wish.com.
0	0	Marketing Communication Opt-out
0	0	To opt-out of marketing communications you can use any of the following methods.
0	0	If you do not want to receive emails from us regarding special promotions or offers, you may (1) follow the unsubscribe options at the bottom of each email; or (2) contact us at privacy@contextlogic.com and provide your email address along with the name of the newsletter from which you would like to unsubscribe.
0	0	Mobile Promotional Offers: When you provide us with your mobile number for marketing purposes, we may send you certain marketing alerts via text message
0	0	Standard data and message rates will apply
0	0	If you no longer wish to receive mobile alerts from us, you can follow the instructions provided in those messages or otherwise reply STOP to any alert we send.
0	0	Push Notifications: When you use the App, you may receive push notifications
0	0	If you prefer not to receive push notifications, you may adjust your settings on your mobile device to control whether you want to receive these alerts.
0	0	Settings - You can opt out of certain communications from us by changing your preferences under the Settings option of the applicable service.
0	8	If you do not want us to see or access your device location, you can turn off location sharing on your device, change your device privacy settings, or decline to share location on your browser.
0	0	You may be able to opt-out of certain web beacon tracking and other Cookie activity by adjusting the settings on your browser, including Do Not Track settings.
0	0	To opt-out of Google Analytics you can install the Google Analytics Opt-out Browser Add-on.
0	0	To exercise choices for tailored advertising, please visit the following sites
0	0	If you opt-out, you may still receive advertising content, but it will not be tailored to you.
0	0	Network Advertising Initiative (NAI) - You may use the NAI opt out tool here, which will allow you to opt out of seeing personalized ads from NAI member companies.
0	0	Digital Advertising Alliance (DAA) - You may opt out of receiving personalized ads from certain companies that perform ad targeting services, using the DAA website here.
0	0	European Interactive Advertising Digital Alliance (EDAA) ??You can learn more about online advertising and opt out at the Your Online Choices website.
0	0	For your mobile devices, please read your operating system¡¯s instructions for complete instructions.
0	0	iOS 7 or Higher: Go to your Settings > Select Privacy > Select Advertising > Enable the ¡°Limit Ad Tracking??setting
0	0	For Android devices with OS 2.2 or higher and Google Play Services version 4.0 or higher: Open your Google Settings app > Ads > Enable Opt out of interest-based advertising
6	0	You may request deactivation of your account by clicking on Deactivate Account in your Settings and following the steps provided.
7	0	If our processing of your personal data is covered by European data protection law, you typically have certain rights, including:
6	5	You can access and review information associated with your account at any time through the Settings page or tab
9	0	You also can request the following information: how we collect and use your information and why; the categories of personal data involved; the categories of recipients of your personal data; how we received your personal data; and how long we use or store your personal data or the manner in which we determine relevant retention periods.
6	6	You also have a right to correct your personal data.
6	7	In certain situations, you can ask that we stop using your information or erase it or export it.
8	8	You may also have a right to object to additional processing of your personal data.
0	0	Where we rely on your consent to process your personal data, you have the right to not give your consent or (if you have provided consent) to withdraw consent at any time
0	0	Withdrawing consent will not affect the lawfulness of processing prior to the withdrawal
0	0	At any time, you can request that we stop using your information for direct marketing purposes.
10	10	You have a right to raise questions or complaints with us as described below or with your local data protection authority at any time.
0	10	We are committed to resolving valid complaints about your privacy and our collection or use of your personal data or information
4	4	For questions or complaints regarding our data use practices or Privacy Policy, please contact us using the email address listed in Section 10 of this Privacy Policy
0	0	If you are located in the EU, you:
4	0	may contact ContextLogic B.V.¡¯s data protection officer by emailing dpo@contextlogic.com;
10	10	also have the right to lodge a complaint with the Netherlands Data Authority, the lead supervisory authority for the processing of Personal Data of individuals located in the EU.
0	0	We do not knowingly collect or solicit ¡°personal information??(as defined by the U.S
0	0	If you are under 13, please do not attempt to register for the Services or send any personal information about yourself to us
0	0	If we learn that we have collected personal information from a child under age 13, we will delete that information
4	4	If you believe that a child under 13 may have provided us personal information, please contact us at privacy@contextlogic.com.
0	0	For residents of the EU and Switzerland, where processing of personal data is based on consent, we will not knowingly engage in that processing for users under the age of consent established by applicable member or data protection law
0	0	If we learn that we are engaged in that processing with such users, we will halt such processing and will take reasonable measures to promptly remove applicable information from our records.
0	0	If you are 13 or older, but have not reached your country¡¯s age of majority (i.e
0	0	able to enter a contract), you should use the Services with permission from your parent(s) or guardian(s).
0	0	Do Not Track Policy
0	0	Your browser may offer you a Do Not Track option, which allows you to signal to operators of websites and web applications and services (including behavioral advertising services) that you do not want your online activities tracked over time and across different websites
0	0	Our Services do not support Do Not Track requests at this time, which means that we collect information about your online activity both while you are using the Services and after you leave our Services.
0	0	If you are a California resident, you may ask for a list of third parties that have received your information for direct marketing purposes during the previous calendar year
0	0	This list also contains the types of information shared
0	0	We provide this list at no cost
4	4	To make such a request, contact us at privacy@contextlogic.com.
4	4	If you have any questions or concerns regarding this Privacy Policy or ContextLogic¡¯s use of your data, please send a detailed message to privacy@contextlogic.com
0	0	You may also write to us at:
0	0	(Commercial Register No.62752863), Schiphol Boulevard 347, 1118 BJ Schiphol, the Netherlands or dpo@contextlogic.com.
0	0	Updated: May 25, 2018
