labelpredict	labelreal	review
0	0	Westbund Game (¡°we??¡°us?? is committed to protecting your privacy
0	0	We make our online games available for download on supported devices and for online play through third-party social media sites (the ¡°Games??
0	0	We also make the website, www.taptapheroes.com (the ¡°Website?? available to you as your source for information about our Games, company and Services
3	0	This Privacy Policy outlines how we collect, store, use and distribute information about our users through the Games, the Website and any related services (collectively the ¡°Services??
0	0	The use of Services is governed by our Terms of Service and all users should be familiar with these.
0	0	By using the Services you consent to the use of your Personal Information as described in this Privacy Policy
0	0	Please note that it is always your choice whether or not to provide Personal Information.
0	1	Two types of information may be collected through the Services: Personal Information and Non-Personal Information.
0	0	 This Privacy Policy does not extend to the collection, use or disclosure of the following information which is currently not limited by applicable privacy laws: (a) information that is publicly available, such as names, addresses, telephone numbers and electronic address when listed in a directory or made available through directory assistance; or (b) Non-Personal Information (as defined further below).
1	0	¡°Personal Information??is personally identifiable information, such as your name and e-mail address
3	0	We may retain this information for the purpose of providing the Services and for communication with you.
0	0	¡°Non-Personal Information??is information of an anonymous nature, such as an Internet Protocol Address (IP Address) and information which our web servers may automatically collect through your browser or through cookies when you visit the Website
1	0	We may also collect aggregate information such as demographic statistics of our users (e.g
0	0	The obligations in this Privacy Policy relate to Personal Information, however, we provide information about our use of Non-Personal Information for the sake of transparency with respect to the operation of the Services.
0	0	??Registration & Forums: In order to utilize the Services, you must create a user account and select a user name
0	0	Your username may be visible to the public; all who access the Services (Games)
0	0	The chat, profile walls, and forums within our Services (Games), allow you to communicate with members of the online community
0	0	Whenever you give out information in public areas, that information can be collected and used by people you do not know
0	0	You should not give out Personal Information, and giving out other people¡¯s Personal Information within the services is against the Terms of Service.
0	0	Your IP address is reported by your web browser when you visit a page on the Website
0	0	This information is recorded together with your user account information on our databases
3	0	We use this to:
0	0	    o Diagnose problems and any issues reported by users that are related to the IP addresses controlled by specific parties.
0	0	    o Gauge how many users are visiting the Website from different geographical regions and using the Services.
0	0	    o Trace back the source of any malicious or illegal use of the Services (such as having interacting multiple accounts) so that we can more easily track and disable such usage as it arises.
0	0	??Westbund Game Applications on Partner-Operated Websites: In order to use the Services (Games) on third-party operated websites (e.g., Facebook) we may require you to 1) be a registered member of a partner site, and 2) install a Westbund Game application on your partner site account
0	0	If your use of Service (Games) requires app installation on a third party-operated website, you generally must agree to the partner site¡¯s Terms of Service.
0	0	??Device IDs: When downloading or installing our Games (apps), information such as a unique device identifier will be provided to us
3	3	We use this information in order to sync your specific Game with your device
0	0	The unique device identifier does not include, or give access to the owner¡¯s name, address or other personal information registered to that device.
0	0	??Support: If you send an email or otherwise communicate with Game Hive Corporation, we may retain those communications in order to process your inquiries, respond to your requests and improve our Services.
0	0	Organizational safeguards are in place to ensure a high level of protection of your Personal Information
0	0	We will not disclose or transfer your Personal Information to third parties without your permission, except where specified in this Privacy Policy (see Important Exceptions below).
0	0	We may disclose any Personal Information we hold about you to third parties without your consent if we have reason to believe that disclosing this information is necessary to identifying, contacting or bringing legal action against someone who may be causing injury to, or interference with (either intentionally or unintentionally), our rights or property, other Website members, other users of the Services, or anyone else (including the rights or property of anyone else) that could be harmed by such activities
0	0	We may disclose Personal Information when we believe in good faith that such disclosure is required by and in accordance with the law.
0	0	We may also disclose your Personal Information in connection with a corporate re-organization, a merger or amalgamation with another entity, a sale of all or a substantial portion of our assets or stock, including any due diligence exercise carried out in relation to the same, provided that the information disclosed continues to be used for the purposes permitted by this Privacy Policy by the entity acquiring the information.
0	0	When using the Services, you may be introduced to a variety of third party vendors and websites
